         0.93809         0.93809        -0.30414         0.01220
         1.19886         0.95341        -0.58120     10835.41567
         1.06817         0.91659        -0.79520      8634.20169
         0.95389         0.85490        -0.32942      1984.73289
         0.97661         0.84933        -0.30216      2538.44899
         1.13238         0.94058        -0.42013      6026.35903
         1.11779         0.87995        -0.02237      6912.07409
         1.21293         1.06282        -0.39710     12106.92190
         0.90901         1.06992         0.04497      5118.86192
         0.89225         1.06960        -0.90337     12182.10074
         0.80726         0.92704        -0.80665     10893.56737
         0.96451         1.01982        -0.14205      1771.73515
         0.83715         0.75261        -0.58975     16965.16623
         0.93227         1.18984        -0.72781     12906.94443
         0.98440         0.76021        -0.19456     11503.30626
         0.73653         0.96915        -0.05292     15867.75222
         1.08941         1.01013        -0.10862      5059.99955
         0.95210         1.23346        -0.66511     13911.97656
         1.25524         0.99566        -0.68461     15670.26813
         0.91959         1.07414         0.43189     13225.45415
         0.94263         0.91024         0.00685      2152.89931
         0.97164         0.92384        -0.16643       633.92638
         0.81785         1.22596         0.03911     15639.17338
         0.78563         0.97536         0.13126     11407.41984
         0.97266         0.89428        -0.47886      1387.99501
         0.90363         0.81759         0.09047      7962.53101
         0.92852         1.03248        -0.55317      3055.39470
         1.21116         0.87701        -0.41127     11161.84052
         0.72266         1.00663        -0.29009     18762.55746
         0.82424         1.07591         0.08880      9469.34250
         0.90329         0.89737        -0.98262     11088.07959
         0.86095         1.13870         0.22282     11816.15794
         0.92549         0.90354        -0.52609      1290.40254
         1.13054         0.87473         0.11535      9183.95766
         0.94290         1.02026         0.11298      4372.45659
         1.05301         0.99157        -0.21036      2890.73782
         1.04655         0.86990        -0.53296      4696.91189
         1.08634         1.22080        -0.05905     13768.73562
         1.01411         0.94209        -0.39164      1289.59514
         0.83859         0.94945        -0.22018      2991.01745
         0.95068         0.96330         0.04999      2547.97480
         0.78675         1.07741        -0.63170     14026.16236
         1.03419         1.29720        -0.55676     16719.00762
         0.99770         1.14567        -0.70949     10606.53869
         1.28819         0.92467        -0.44235     14230.55749
         1.22838         1.05317        -0.20224     12321.29537
         1.09625         1.04732        -0.86784     13337.85851
         1.14393         1.26509        -0.12243     18053.38147
         1.03453         0.91902        -0.32400      1823.87337
         0.91014         0.80100         0.03655      8410.22098
         1.07498         0.98107        -0.68399      6707.44245
