0.932450	0.939630	-0.273780	-8853.441396
0.930660	0.953140	-0.332750	-8798.815556
0.923240	0.949200	-0.307070	-8798.540776
0.923380	0.937220	-0.354450	-8780.659346
0.928850	0.921260	-0.266140	-8761.840326
0.929680	0.950150	-0.363550	-8758.361506
0.940130	0.942500	-0.380850	-8755.628586
0.954810	0.937830	-0.237740	-8740.520736
0.929690	0.923130	-0.369060	-8733.381626
0.951250	0.933880	-0.229000	-8732.082176
0.954820	0.954330	-0.350740	-8716.921596
0.949920	0.926900	-0.376880	-8711.512656
0.943970	0.946050	-0.207140	-8683.507136
0.965870	0.929110	-0.325730	-8683.404106
0.936380	0.946520	-0.201490	-8662.407776
0.955130	0.966380	-0.288620	-8655.035066
0.951600	0.912670	-0.341170	-8652.779866
0.932770	0.910560	-0.351590	-8651.591756
0.920930	0.962180	-0.349720	-8636.541796
0.935990	0.945150	-0.194250	-8635.723466
0.938540	0.956590	-0.206410	-8631.872766
0.926250	0.910310	-0.351070	-8626.609026
0.931500	0.912350	-0.241210	-8625.926976
0.945630	0.974010	-0.314970	-8599.695896
0.969340	0.958250	-0.308080	-8596.587066
0.924640	0.961910	-0.221680	-8588.439736
0.947450	0.904440	-0.310500	-8578.460046
0.932810	0.956800	-0.407600	-8576.475816
0.946180	0.906920	-0.357500	-8570.706006
0.913530	0.930270	-0.395710	-8565.496436
0.933200	0.915050	-0.210300	-8564.229426
0.917780	0.964120	-0.363580	-8555.870236
0.963540	0.924850	-0.388060	-8549.140966
0.927970	0.956040	-0.190190	-8538.889936
0.945810	0.902580	-0.276680	-8536.619196
0.938670	0.977070	-0.339030	-8536.085226
0.908120	0.913190	-0.291130	-8515.303146
0.932770	0.978580	-0.332400	-8512.498556
0.931370	0.965110	-0.197550	-8507.171166
0.970350	0.921780	-0.232820	-8505.124136
0.926150	0.977450	-0.266160	-8502.363166
0.921760	0.957130	-0.188360	-8479.846556
0.981990	0.932280	-0.287400	-8475.681006
0.949230	0.979360	-0.355820	-8444.609266
0.940510	0.982620	-0.339230	-8443.760056
0.946050	0.898840	-0.348760	-8442.015466
0.949060	0.935410	-0.446910	-8439.002116
0.947210	0.898130	-0.352270	-8415.805426
0.958590	0.952680	-0.167930	-8414.270446
0.941270	0.963740	-0.166690	-8396.111686
0.894580	0.936980	-0.332920	-8392.341166
