############################ MICRO SIMULATION INFORMATION ##################################
No		F11		F12		F21		F22		Energy
70;	1.046998163204;	0.083104918738;	-0.182532452702;	0.950124470168;	7.312096871119
71;	1.095254772912;	-0.120224883282;	0.088561934602;	1.003252070408;	18.379761148250
72;	0.855561893996;	-0.006310122785;	0.017921403064;	0.995549311456;	Penetrable-detFmicro
73;	1.166972987033;	-0.082295086830;	-0.137510710732;	1.099467366740;	94.193991722611
74;	0.988822885945;	-0.084247294138;	-0.160971666030;	0.998703241719;	19.425076968757
75;	0.889831139389;	0.193560673653;	0.135915590980;	1.012018689141;	Penetrable-detFmicro
76;	1.035122855427;	0.121310423575;	0.045336719517;	0.830482868200;	Penetrable-detFmicro
77;	1.070627867983;	0.145786846629;	0.014288082116;	0.936943323298;	14.893742655238
78;	0.949795870004;	-0.123199365489;	0.154447127342;	1.123937285724;	21.633309378330
79;	0.849067259118;	-0.089693771679;	-0.194771061244;	1.076237244461;	Penetrable-detFmicro
80;	0.878575243692;	-0.024488850301;	0.111437183286;	0.976441618142;	Penetrable-detFmicro
81;	0.887488520029;	0.098632536153;	-0.160827170070;	0.993698531748;	22.593031571905
82;	1.000000484929;	0.000678872258;	-0.180208143174;	0.857049449066;	Penetrable-detFmicro
83;	1.100409027130;	0.117531099262;	-0.024592832454;	0.972824973196;	15.894446624419
84;	1.010627302162;	-0.005651685911;	0.074921651791;	1.115485591863;	25.475756796879
85;	0.973120143697;	-0.128769892228;	-0.132413757618;	1.025899449085;	22.552195944219
86;	1.072761216179;	-0.002275988512;	-0.090584217815;	1.074823527717;	30.241017474143
87;	0.820946919628;	-0.134265017724;	-0.184742035900;	1.028019733652;	Penetrable-detFmicro
88;	1.072896216578;	0.057306493174;	-0.029721721315;	1.166958445462;	72.276122138421
89;	1.196402540281;	0.110192424553;	-0.025365613287;	1.180915990296;	161.983939889111
90;	1.174011244105;	0.104295139017;	-0.053806890402;	1.157689418816;	129.334478763533
91;	1.032347395253;	0.176412709696;	0.182086507339;	0.834901417948;	Penetrable-detFmicro
92;	1.176916745965;	0.090718508458;	0.038010115876;	0.963396470756;	43.105669489286
93;	1.057531316047;	-0.112720118253;	0.141463679373;	1.156856446578;	65.909463824479
94;	0.950037854288;	0.125811745901;	-0.147334354004;	0.800303404947;	Penetrable-detFmicro
95;	1.040805576361;	0.045584842017;	0.144053749876;	1.097077115747;	34.222604736747
96;	0.814764981866;	0.146353142706;	0.126441201550;	0.973328831603;	Penetrable-detFmicro
97;	0.811025748040;	0.077401785332;	-0.077652389617;	0.935243223403;	Penetrable-detFmicro
98;	1.163322587428;	-0.107016768552;	-0.145475059802;	1.192620610527;	152.761069128922
99;	0.856969460420;	0.166969795504;	0.134012015989;	0.886479452107;	Penetrable-detFmicro
100;	1.040736457580;	0.113916954306;	-0.030515692108;	0.920780068772;	10.229020828346
101;	0.822583755552;	0.106545591375;	-0.083001731487;	1.180646291751;	55.723264289898
102;	1.121591212276;	0.074172236337;	0.078437058038;	0.882248891508;	31.510049781515
103;	1.183831334627;	0.134034105667;	-0.060422291281;	1.004773540164;	57.562510255261
104;	0.987043050772;	-0.061155429122;	-0.165064567061;	0.885258970984;	Penetrable-detFmicro
105;	1.067648663332;	0.166956930569;	-0.134276080408;	0.949202296527;	7.630315842901
106;	1.059860901816;	-0.172489118952;	-0.026824371324;	1.035872230343;	23.335686625150
107;	1.112307477635;	0.030055285933;	-0.087942695424;	1.013691851055;	25.336059402811
108;	1.123447646245;	-0.084534301152;	-0.015332069961;	1.122922098765;	75.003513675715
109;	0.844378645504;	-0.022924409502;	-0.163543947150;	1.115325336558;	46.895475509941
110;	0.903076192036;	0.064339764937;	-0.027911858250;	0.861724809898;	Penetrable-detFmicro
111;	0.944655095621;	-0.083560039576;	-0.039183618652;	0.821076747837;	Penetrable-detFmicro
112;	0.986483638505;	0.180615425645;	-0.025822281204;	1.010309790130;	7.658655286485
113;	1.066260758532;	0.187751233783;	0.011512815029;	0.868527307012;	36.900578210120
114;	0.977777979499;	-0.022780030188;	-0.000974563091;	0.834763660789;	Penetrable-detFmicro
115;	1.025392759981;	0.191228895519;	-0.044143853263;	1.040278977969;	14.034017215098
116;	1.196125550728;	0.053071150734;	-0.092343679173;	0.812411174312;	64.757306467430
117;	0.948620464802;	-0.015752003680;	0.064679477896;	0.879979113606;	Penetrable-detFmicro
118;	0.822661306711;	0.137692427577;	-0.015486974102;	0.886627453792;	Penetrable-detFmicro
119;	1.168827979374;	0.168552575305;	0.083098756474;	0.803918612136;	83.518930775318
120;	1.152267590908;	0.149980232386;	0.185469113704;	0.903605849831;	59.534424931890
121;	0.910844456860;	0.090186146285;	-0.119936823428;	1.093360148582;	14.049197073517
122;	0.840795110660;	0.056715550236;	-0.124302471925;	1.128447145173;	39.492494667813
123;	1.078011815909;	-0.005151224971;	0.163633921449;	0.816934616942;	Penetrable-detFmicro
124;	1.173592470167;	0.116438824024;	0.081361050345;	1.003222565658;	55.672785645279
125;	0.977139526102;	0.071398226318;	0.077543783600;	1.159757446650;	39.419037296385
126;	0.826658757960;	0.005168507165;	0.126771248365;	0.881275230527;	Penetrable-detFmicro
127;	1.029064016888;	0.038774664752;	-0.111615342661;	0.831592031212;	Penetrable-detFmicro
128;	0.929827248632;	-0.158620823031;	0.162976543833;	0.857979147813;	Penetrable-detFmicro
129;	0.824923441573;	0.037398199339;	0.168393875870;	1.089840216074;	Penetrable-detFmicro
130;	1.140831367557;	0.049818542200;	0.132283038980;	1.115332898524;	85.146589297113
131;	0.828913407122;	-0.171328449083;	0.013478500556;	1.173088183341;	60.082362618701
132;	0.848033626769;	-0.095469339515;	-0.019471196853;	1.005927397794;	Penetrable-detFmicro
133;	0.859653976011;	-0.169361030167;	0.058568338189;	0.878083653187;	Penetrable-detFmicro
134;	1.074195653200;	-0.128131033657;	0.104555202592;	0.868736188223;	22.599240088120
135;	0.826071973880;	-0.109802036312;	0.139399067351;	0.912425121075;	Penetrable-detFmicro
136;	1.060063381202;	0.051373262777;	-0.083765287072;	0.845276374358;	37.097028403352
137;	0.827303902214;	-0.183337472354;	-0.178981960536;	0.870881636125;	Penetrable-detFmicro
138;	0.898597955657;	0.191199065807;	-0.193944414476;	0.833453450172;	Penetrable-detFmicro
139;	0.994971434701;	0.026006439926;	-0.173883466902;	0.977755746834;	7.609244559590
140;	0.984741910371;	-0.131723542754;	-0.167639499358;	0.911917604125;	55.029807784106
141;	1.084309491300;	-0.107981442455;	-0.022686156016;	1.199541784715;	101.263342250346
142;	1.195024549138;	-0.176975300897;	-0.093476026604;	0.905361142189;	60.235039835774
143;	1.084127360064;	0.192561665206;	0.154138047965;	1.138533418196;	85.293625165723
144;	0.994841884713;	0.061753859223;	-0.094387554326;	0.998498008941;	0.329331564910
145;	1.176340076871;	-0.123168832489;	0.062068253718;	1.069329374443;	79.765647273452
146;	1.052418557212;	0.034164050346;	-0.048703123853;	0.808742655607;	Penetrable-detFmicro
147;	1.040573612574;	-0.033884915601;	0.175353281776;	0.856167834816;	Penetrable-detFmicro
148;	1.032333446689;	0.052544931488;	-0.060581067901;	0.918652673195;	9.121007311166
149;	1.140490911458;	0.131898244382;	-0.038618305649;	0.926548812188;	25.647338587276
150;	0.952530420494;	0.072046665528;	0.162065913191;	0.809268390079;	Penetrable-detFmicro
151;	0.935904207203;	-0.125794596606;	-0.062312649230;	1.184117418028;	47.673496560759
152;	0.975992999050;	0.184388291814;	0.090004293032;	1.140021009613;	45.408175009555
153;	0.840102350577;	0.174871065802;	-0.036395471491;	1.046675117952;	47.229279203387
154;	0.909210382851;	-0.168586547897;	0.011682153838;	1.066496093495;	19.640288808160
155;	0.948973423562;	-0.170312151437;	0.178205943874;	0.954392024336;	6.222405427853
156;	0.867335429930;	-0.168128187909;	-0.051004375500;	0.951964817516;	Penetrable-detFmicro
157;	0.816502632227;	-0.185228166964;	0.179760740425;	0.907344597618;	Penetrable-detFmicro
158;	1.144168710879;	0.106819367842;	0.105696125036;	0.938411318683;	35.640995601095
159;	0.941467911921;	-0.084712748686;	0.047049096801;	1.021916545101;	4.928979596452
160;	1.092064230738;	0.116837121336;	-0.125529330272;	0.850217520368;	30.452000439338
161;	0.953337946007;	-0.021053086844;	-0.097570760368;	1.025068050021;	7.267277609330
162;	1.109705638854;	0.060471017528;	-0.077867158711;	1.112127628868;	61.928270343255
163;	0.975114923409;	0.122276172088;	-0.186799417068;	1.168514817233;	46.003361462111
164;	0.841470634402;	-0.110395093257;	-0.126730391433;	1.108818271714;	57.839825074187
165;	1.194731246449;	-0.011653910808;	-0.047337632288;	0.991518437385;	55.431085526419
166;	1.123874618875;	-0.181752014125;	0.198172598577;	1.093241054213;	74.518632967536
167;	1.005492504052;	0.029156482748;	-0.032431007722;	1.037744164789;	3.044086626260
168;	0.818548479426;	-0.169242005970;	-0.195475916694;	1.007367963775;	Penetrable-detFmicro
